mean,std,max,min,range,skewness,kurtosis,rms,crest_factor,variance,zero_crossings,dominant_freq,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_flatness,start_time,event,axle
-4.765465795265836e-06,0.0013497831811381525,0.007541756929232495,-0.0061890212994241975,0.013730778228656693,-0.0047881456246035995,0.4721818521411647,0.0013497915934497728,5.58734916251583,1.8219146360834306e-06,5798,475.0,7.037722601166147e-08,1962.1600928981293,2412.05265917968,0.2741875493153026,0.0,normal,normal
-5.524223712400647e-06,0.02436007770116087,0.2151477930505846,-0.249092711692423,0.4642405047430076,-0.036716858106339054,26.678484158305498,0.024360078327535045,8.83198281047379,0.000593413385606595,2809,375.0,2.4684636622965403e-05,352.8689511922665,257.05586312924305,0.0019111023516631676,2.886,joint X,A1
1.5927425274931615e-05,0.0030362332318321695,0.013389420800723771,-0.01471337912497762,0.028102799925701392,-0.05847800642346971,0.20818080279580453,0.003036275007465218,4.4098182041493335,9.21871223808202e-06,2598,475.0,3.56391549807153e-07,681.2514001123997,1274.187100488225,0.06687533170094562,3.3859765625,normal,normal
6.7015401117975e-05,0.024002068253063315,0.29864158525495355,-0.29063759033166425,0.5892791755866178,0.990778765464145,39.90855522825833,0.024002161808651667,12.442278642889038,0.0005760992804247098,1212,75.0,2.348423835600042e-05,263.74757077268674,322.44549441910766,0.0025479136663319178,6.119,squat A,A1
-0.0001478153496525239,0.00806083934523727,0.024656653125612472,-0.042391394757384744,0.06704804788299722,-0.33167668624099605,1.2176947195143377,0.00806219451063531,3.0583054146220916,6.497713094972522e-05,426,75.0,2.240564068460299e-06,244.16121755536662,566.4997992621084,0.011983941257719472,6.618984375,normal,normal
4.399628536999551e-05,0.04785572141184189,0.5602825046624524,-0.3885927989712898,0.9488753036337423,0.8498489367532865,27.503941552972105,0.04785574163588889,11.707738413613356,0.0022901700718478226,1008,125.0,9.354343261277195e-05,272.71763654055644,234.7726243526104,0.0007340314147745075,7.546,joint X,A2
-2.4398164825543682e-05,0.04787032007629831,0.5602825046624524,-0.3885927989712898,0.9488753036337423,0.8534140063196358,27.471675303464192,0.04787032629382941,11.704171415574288,0.0022915675442072487,1041,125.0,8.840655019617419e-05,274.88655845675595,244.11074904243114,0.000792468454864584,7.811,squat B,A1
-3.8398108841491295e-05,0.04599470357856466,0.6637445659771678,-0.6804801377760774,1.344224703753245,0.1064037553402804,72.38343641855154,0.04599471960665476,14.430886233321743,0.0021155127572800286,1255,425.0,7.58876178801485e-05,350.4986139390784,172.12243652702287,0.0006835916182206285,8.759,squat C,A1
0.00010070206063146443,0.009470656144525863,0.03496375867025876,-0.029807310757054815,0.06477106942731357,0.13997563943202015,0.10562009035273956,0.00947119151495,3.691590294111305,8.969332780784548e-05,488,150.0,3.711260644661879e-06,318.1989640749436,461.44182156140675,0.008413744362841664,9.258984375,normal,normal
-2.776844304321589e-06,0.042119277321328794,0.5457737353837396,-0.5886337017493616,1.1344074371331012,0.24482606099557913,56.449391886171426,0.042119277412864836,12.957813355483623,0.0017740335220710018,1023,125.0,6.776576541775114e-05,269.76702803981317,515.9410423311672,0.002528960580651969,10.178,squat A,A2
-5.1239705369501756e-06,0.011687277734507156,0.042413461073967415,-0.04922758204281097,0.09164104311677838,-0.10201503888258649,0.4607057709266136,0.011687278857740187,3.629027902066191,0.00013659246084350672,521,150.0,4.985777915673431e-06,316.3184144498818,407.7385074818593,0.00633638515646534,10.67796875,normal,normal
9.534749215732078e-07,0.057680088488654455,0.7562818774411305,-0.8205252230977487,1.576807100538879,0.4487554335850888,63.451950369096764,0.057680088496535116,13.111662917898625,0.0033269926080590085,858,125.0,0.00014082215380024156,216.0373004822197,163.86447922050903,0.0004157900288507893,11.669,squat B,A2
9.919680257020465e-06,0.023922323479134415,0.34262210941727184,-0.21045860869408722,0.5530807181113591,2.570847638232195,47.13964137780657,0.02392232553579192,14.322274350152545,0.0005722775606403457,990,125.0,2.3562260489389108e-05,265.6000150595933,269.57018447070055,0.0018904108751148384,12.524,squat C,A2
0.00020446945721820504,0.01136351453635617,0.029836171771505732,-0.03693377163682859,0.06676994340833432,-0.20685068351223623,-0.09917928930422448,0.011365353948598042,2.625186325603712,0.00012912946261797799,152,425.0,5.252591232965443e-06,412.41670834369114,402.8661204109831,0.0059870990129197,13.023984375,normal,normal
-2.3666596801266026e-05,0.02426614044643823,0.33158376666140343,-0.26536725559122765,0.5969510222526311,0.541142504914029,25.98569503752264,0.02426615198736853,13.664456022281803,0.0005888455721662654,898,450.0,2.441911419329294e-05,390.74521068390754,272.56607204082815,0.0019848867866466323,13.659,squat D,A1
1.6352265243256702e-05,0.017715052805682405,0.13445747866588478,-0.17293897758047372,0.3073964562463585,-0.47147288495273904,9.656336546290461,0.01771506035283805,7.590009629537838,0.000313823095908116,980,425.0,1.267212140055193e-05,357.0038219837414,334.2830073717033,0.003247415828099153,14.158984375,normal,normal
-3.2706332314922414e-06,0.020013588958920057,0.1945496346537987,-0.19382330441365336,0.38837293906745207,-0.1560133261743245,21.480014634253315,0.020013589226164516,9.720876773040624,0.00040054374301660674,1164,425.0,1.597936567735756e-05,341.8664509424282,368.0213920782533,0.0035674192311951824,15.95,squat E,A1
1.3511910823615643e-05,0.022142819441139553,0.24007883451475967,-0.3023348410356731,0.5424136755504327,-0.24288110393779969,41.07819892279745,0.022142823563733736,10.842286387900813,0.0004903044528029078,1163,150.0,1.875190597330636e-05,420.12464147826205,343.6202076700304,0.003158803198404675,16.718,squat D,A2
-2.89683281730387e-05,0.014843059245993688,0.0571271575033349,-0.049240788930636444,0.10636794643397135,0.01083060077043166,0.03731173369271401,0.01484308751386031,3.848738171892485,0.00022031640778007872,1098,450.0,8.753599985122554e-06,418.02768615152917,397.0771745106177,0.005581975139711133,17.21796875,normal,normal
5.047672247811996e-05,0.04276331116180652,0.43829900468440275,-0.2974447839950078,0.7357437886794105,0.6334365234994769,18.173248643446303,0.042763340952514425,10.249409772989951,0.0018287007815214857,939,125.0,7.737608843177465e-05,251.00098026533936,256.6372021951045,0.0011311485770765324,18.722,squat E,A2
-3.8240925598909035e-05,0.021676474580235937,0.07446700520920953,-0.08429187833482309,0.15875888354403261,0.004641853215311993,0.06867129896729285,0.02167650831190313,3.4353782508559174,0.00046986955022761476,1055,450.0,1.8707067737579986e-05,424.666443896946,317.3011457915245,0.0027302971966866067,19.2219921875,normal,normal
3.990946702077318e-05,0.04975283292336702,0.5338618213534536,-0.6268329654741739,1.1606947868276274,0.5084115575987804,42.479473138687176,0.04975284893014702,10.73027641297477,0.002475344383900473,1009,475.0,9.74631737224523e-05,428.06668115097983,223.24816855603953,0.0009479946258505968,21.693,squat F,A1
-0.00013330937868654495,0.02347076335139979,0.06905823455080329,-0.08094842716746854,0.15000666171827182,-0.06882875822230682,0.1565419426488064,0.023471141934040134,2.9422613839954805,0.0005508767322974116,201,475.0,2.1043551979969905e-05,445.6209458577826,251.21249543735598,0.002000658340896143,22.19296875,normal,normal
4.9421209447646686e-05,0.04184561662139078,0.669919698045534,-0.5112222574364296,1.1811419554819635,0.6955243771626876,54.36460871347017,0.04184564580551194,16.00930479503537,0.0017510556304244165,1055,375.0,7.470169467208957e-05,415.35824890318787,251.8897263942979,0.0009628759187851454,22.888,squat G,A1
-0.0002267101429323256,0.019721215078113932,0.0708605349702396,-0.05049665904437569,0.12135719401461528,0.0807705419364422,-0.05351212442550679,0.019722518136539684,3.5928746258297055,0.00038892632415722835,137,375.0,1.5231186111560472e-05,413.64899639143704,248.31323906129595,0.0022937098218173413,23.38796875,normal,normal
-2.701410302689272e-05,0.04325177253461553,0.42104515895481687,-0.4208582353592612,0.8419033943140781,0.24894200817679968,32.67089983057599,0.04325178097082113,9.734747321477139,0.0018707158273861227,921,425.0,7.338048037430055e-05,344.4613439681115,191.8172744045698,0.0008703831823112937,24.03,squat F,A2
0.00016027374416208837,0.01878293955733172,0.056465562104329174,-0.04856671562368638,0.10503227772801554,0.22352004151804925,-0.18179499974977276,0.018783623348210658,3.006105960366168,0.0003527988184143768,152,475.0,1.4328656541563537e-05,361.74813186321006,254.18974639210478,0.002269187164629031,24.53,normal,normal
