mean,std,max,min,range,skewness,kurtosis,rms,crest_factor,variance,zero_crossings,dominant_freq,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_flatness,start_time,event,axle,cluster,tsne_1,tsne_2
-7.860905094511584e-06,0.004722967075904961,0.016176342156882854,-0.01431415863325781,0.030490500790140665,0.01063419980426948,-0.6482136404361252,0.004722973617744562,3.425033351045438,2.2306418000082253e-05,1348,175.0,8.894379174685617e-07,330.91848370912174,845.6023266808355,0.024391654132203348,0.0,normal,normal,0,-2.3095605,4.0351624
3.9109194819927776e-05,0.038714732472046064,0.3332579131498693,-0.38129893755585303,0.7145568507057223,-0.5846293199320224,22.577203579113462,0.038714752225879195,8.608034250238603,0.0014988305103820982,876,300.0,6.287940917809479e-05,336.8105696012011,261.28565618793914,0.0008549470271075048,3.499,joint X,A1,1,0.4314874,4.9967327
-2.8007393099798655e-05,0.007290657156134921,0.029069772367980595,-0.02254256194703765,0.05161233431501824,0.1668793252282812,0.08145747517664503,0.007290710951777582,3.9872342437184347,5.315368176830134e-05,1175,200.0,2.15369602076602e-06,286.508607206775,570.7063701219312,0.01285459929578006,3.998984375,normal,normal,0,-2.0749707,4.2883945
-6.489735934275424e-05,0.03597346184154954,0.3461824178466585,-0.35460069498192226,0.7007831128285807,0.03165166952470356,26.460764606131512,0.03597352038003328,9.623256611793918,0.0012940899568654205,903,75.0,5.5176080149258156e-05,211.77012226251503,216.86894073001542,0.000878637011123385,6.812,squat A,A1,1,0.02648776,5.2830267
0.00025398034467555747,0.014504638681761215,0.041721360068275135,-0.04259178026286632,0.08431314033114146,-0.13040766217729108,-0.43578303801109985,0.014506862145340917,2.875974118336441,0.00021038454328844373,436,75.0,8.076040046446848e-06,217.224458935596,530.7423193677768,0.003933736921273102,7.3119921875,normal,normal,0,-2.1322289,5.2444596
1.5358556900908568e-05,0.0781267266629869,0.5828920047498964,-0.8048285645818365,1.387720569331733,-0.7816019609610042,21.3674129219314,0.07812672817261924,7.460852622191085,0.006103785419073067,969,325.0,0.00024627306192525326,313.1376738208814,196.10169220009985,0.0003179349312040645,8.238,joint X,A2,1,1.899679,5.7179995
-1.7745636033361314e-05,0.07813328275090867,0.5828920047498964,-0.8048285645818365,1.387720569331733,-0.7800889461779671,21.357967875949,0.07813328476610362,7.460226541029427,0.006104809873433442,931,325.0,0.0002462675435329401,312.9476745180312,193.28441587543824,0.00031704796403174743,8.498,squat B,A1,1,1.900096,5.7165904
1.5338495238745386e-05,0.031954697462210926,0.2770414967294442,-0.45713019389458553,0.7341716906240298,-1.4381989864466118,40.09609174112675,0.031954701143507284,8.669819676462062,0.0010211026899014295,980,300.0,4.097047315870439e-05,291.66970587269924,251.4628634122585,0.001207857974800565,9.402,squat C,A1,1,1.1426733,4.682211
-3.919904150334329e-05,0.013215575456989502,0.040186077048765464,-0.0571983461220835,0.09738442317084897,-0.22746877253538672,0.16784183347670512,0.013215633591479375,3.0407983673726373,0.00017465143465938328,303,300.0,7.259748482239533e-06,302.2148687730177,384.5294888808544,0.004820775285429648,9.9019921875,normal,normal,0,-2.3496253,5.1669602
-2.495966144419275e-05,0.06371118186130217,1.152994126784032,-0.6931844374898338,1.846178564273866,1.5073537079886745,59.04159901241034,0.06371118675043355,18.097200595250033,0.00405911469416392,950,300.0,0.00015441549464620787,445.46802137685347,762.0459910282929,0.004705626588726406,10.733,squat A,A2,1,1.0018668,6.811025
